date,meal_period,restaurant_covers,event_indicator,occupancy_rate,number_of_items,dish_category,dishwasher_cycles,cycle_duration_minutes,items_per_rack,washing_time_minutes,waiting_time_minutes,rewash_required,items_rejected,damaged_items,dishwasher_utilization,staff_available,water_consumption_liters,detergent_consumption_ml,season,day_of_week,peak_period
2025-01-01,Breakfast,59,False,0.793,134,Plates,6,1.94,24,11.7,2.5,True,1,0,0.447,3,32.4,66.8,Winter,Wednesday,False
2025-01-01,Breakfast,59,False,0.793,81,Glassware,5,2.03,20,10.2,0.4,True,1,0,0.339,3,24.5,49.6,Winter,Wednesday,False
2025-01-01,Breakfast,59,False,0.793,157,Cutlery,4,2.06,45,8.2,8.3,True,2,0,0.296,3,27.1,44.1,Winter,Wednesday,False
2025-01-01,Breakfast,59,False,0.793,21,Cookware,3,2.66,10,8.0,0.0,False,0,1,0.25,3,12.2,30.8,Winter,Wednesday,False
2025-01-01,Lunch,58,False,0.793,126,Plates,6,2.11,24,12.7,4.5,True,1,0,0.457,3,31.7,61.5,Winter,Wednesday,False
2025-01-01,Lunch,58,False,0.793,86,Glassware,5,2.21,20,11.0,2.5,True,3,0,0.391,3,27.1,48.4,Winter,Wednesday,False
2025-01-01,Lunch,58,False,0.793,164,Cutlery,4,1.98,45,7.9,5.0,True,4,0,0.297,3,29.5,34.7,Winter,Wednesday,False
2025-01-01,Lunch,58,False,0.793,9,Cookware,1,2.16,10,2.2,1.9,False,0,0,0.25,3,4.6,9.1,Winter,Wednesday,False
2025-01-01,Dinner,99,False,0.793,212,Plates,9,1.98,24,17.8,11.3,True,10,0,0.906,3,49.7,99.9,Winter,Wednesday,True
2025-01-01,Dinner,99,False,0.793,132,Glassware,7,2.02,20,14.2,2.1,True,1,0,0.692,3,37.3,79.9,Winter,Wednesday,True
2025-01-01,Dinner,99,False,0.793,280,Cutlery,7,2.12,45,14.8,5.7,True,6,1,0.684,3,49.5,76.6,Winter,Wednesday,True
2025-01-01,Dinner,99,False,0.793,23,Cookware,3,2.37,10,7.1,4.2,True,1,0,0.283,3,13.6,28.4,Winter,Wednesday,True
2025-01-02,Breakfast,100,False,0.797,209,Plates,9,2.0,24,18.0,10.5,True,4,0,0.719,3,54.2,95.0,Winter,Thursday,False
2025-01-02,Breakfast,100,False,0.797,149,Glassware,8,2.18,20,17.4,1.3,True,2,0,0.667,3,43.1,79.6,Winter,Thursday,False
2025-01-02,Breakfast,100,False,0.797,285,Cutlery,7,1.98,45,13.9,3.3,True,5,0,0.517,3,48.6,75.1,Winter,Thursday,False
2025-01-02,Breakfast,100,False,0.797,5,Cookware,1,2.37,10,2.4,0.0,True,1,0,0.25,3,4.0,10.7,Winter,Thursday,False
